Season,Season_encoded,Team,Matches_Played,Home_Matches,Away_Matches,Wins,Draws,Losses,Home_Wins,Away_Wins,Points,Points_Per_Game,Goals_Scored,Goals_Conceded,Goal_Difference,Avg_Goals_Scored,Avg_Goals_Conceded,Total_Shots,Total_Shots_On_Target,Avg_Shots,Avg_Shots_On_Target,Shot_Accuracy,Clean_Sheets,Clean_Sheet_Rate,Yellow_Cards,Red_Cards,Fouls,Corners,Avg_Corners,Win_Rate,Home_Win_Rate,Away_Win_Rate,Final_Position,Team_encoded
2000-01,0,Newcastle,38,19,19,14,9,15,10,4,51,1.3421052631578947,44,50,-6,1.1578947368421053,1.3157894736842106,414.0,191.0,10.894736842105264,5.026315789473684,46.13526570048309,7,0.18421052631578946,48.0,5.0,552.0,193.0,5.078947368421052,0.3684210526315789,0.5263157894736842,0.21052631578947367,11,29
2000-01,0,Tottenham,38,19,19,13,10,15,11,2,49,1.2894736842105263,47,54,-7,1.236842105263158,1.4210526315789473,383.0,181.0,10.078947368421053,4.7631578947368425,47.25848563968668,11,0.2894736842105263,45.0,3.0,526.0,171.0,4.5,0.34210526315789475,0.5789473684210527,0.10526315789473684,12,40
2000-01,0,Leicester,38,19,19,14,6,18,10,4,48,1.263157894736842,39,51,-12,1.0263157894736843,1.3421052631578947,326.0,159.0,8.578947368421053,4.184210526315789,48.77300613496933,11,0.2894736842105263,56.0,2.0,426.0,174.0,4.578947368421052,0.3684210526315789,0.5263157894736842,0.21052631578947367,13,23
2000-01,0,Middlesbrough,38,19,19,9,15,14,4,5,42,1.105263157894737,44,44,0,1.1578947368421053,1.1578947368421053,352.0,167.0,9.263157894736842,4.394736842105263,47.44318181818182,9,0.23684210526315788,72.0,6.0,498.0,146.0,3.8421052631578947,0.23684210526315788,0.21052631578947367,0.2631578947368421,14,28
2000-01,0,West Ham,38,19,19,10,12,16,6,4,42,1.105263157894737,45,50,-5,1.1842105263157894,1.3157894736842106,475.0,229.0,12.5,6.026315789473684,48.21052631578947,8,0.21052631578947367,69.0,3.0,473.0,213.0,5.605263157894737,0.2631578947368421,0.3157894736842105,0.21052631578947367,15,43
2000-01,0,Everton,38,19,19,11,9,18,6,5,42,1.105263157894737,45,59,-14,1.1842105263157894,1.5526315789473684,394.0,195.0,10.368421052631579,5.131578947368421,49.49238578680203,6,0.15789473684210525,74.0,5.0,558.0,203.0,5.342105263157895,0.2894736842105263,0.3157894736842105,0.2631578947368421,16,17
2000-01,0,Derby,38,19,19,10,12,16,8,2,42,1.105263157894737,37,59,-22,0.9736842105263158,1.5526315789473684,305.0,141.0,8.026315789473685,3.710526315789474,46.22950819672131,13,0.34210526315789475,76.0,2.0,529.0,159.0,4.184210526315789,0.2631578947368421,0.42105263157894735,0.10526315789473684,17,16
2000-01,0,Man City,38,19,19,8,10,20,4,4,34,0.8947368421052632,41,65,-24,1.0789473684210527,1.7105263157894737,377.0,174.0,9.921052631578947,4.578947368421052,46.15384615384615,7,0.18421052631578946,69.0,3.0,589.0,220.0,5.7894736842105265,0.21052631578947367,0.21052631578947367,0.21052631578947367,18,26
2000-01,0,Coventry,38,19,19,8,10,20,4,4,34,0.8947368421052632,36,63,-27,0.9473684210526315,1.6578947368421053,389.0,177.0,10.236842105263158,4.657894736842105,45.501285347043705,6,0.15789473684210525,76.0,4.0,529.0,206.0,5.421052631578948,0.21052631578947367,0.21052631578947367,0.21052631578947367,19,14
2000-01,0,Bradford,38,19,19,5,11,22,4,1,26,0.6842105263157895,30,70,-40,0.7894736842105263,1.8421052631578947,371.0,174.0,9.763157894736842,4.578947368421052,46.900269541778975,6,0.15789473684210525,57.0,1.0,517.0,179.0,4.7105263157894735,0.13157894736842105,0.21052631578947367,0.05263157894736842,20,7
2001-02,1,Arsenal,38,19,19,26,9,3,12,14,87,2.289473684210526,79,36,43,2.0789473684210527,0.9473684210526315,518.0,261.0,13.631578947368421,6.868421052631579,50.38610038610039,14,0.3684210526315789,77.0,6.0,561.0,246.0,6.473684210526316,0.6842105263157895,0.631578947368421,0.7368421052631579,1,0
2001-02,1,Liverpool,38,19,19,24,8,6,12,12,80,2.1052631578947367,67,30,37,1.763157894736842,0.7894736842105263,426.0,214.0,11.210526315789474,5.631578947368421,50.23474178403756,18,0.47368421052631576,41.0,3.0,430.0,188.0,4.947368421052632,0.631578947368421,0.631578947368421,0.631578947368421,2,24
2001-02,1,Man United,38,19,19,24,5,9,11,13,77,2.026315789473684,87,45,42,2.289473684210526,1.1842105263157894,539.0,256.0,14.18421052631579,6.7368421052631575,47.49536178107607,13,0.34210526315789475,54.0,1.0,436.0,264.0,6.947368421052632,0.631578947368421,0.5789473684210527,0.6842105263157895,3,27
2001-02,1,Newcastle,38,19,19,21,8,9,12,9,71,1.868421052631579,74,52,22,1.9473684210526316,1.368421052631579,464.0,223.0,12.210526315789474,5.868421052631579,48.060344827586206,9,0.23684210526315788,50.0,2.0,498.0,262.0,6.894736842105263,0.5526315789473685,0.631578947368421,0.47368421052631576,4,29
2001-02,1,Leeds,38,19,19,18,12,8,9,9,66,1.736842105263158,53,37,16,1.394736842105263,0.9736842105263158,470.0,235.0,12.368421052631579,6.184210526315789,50.0,18,0.47368421052631576,72.0,5.0,594.0,214.0,5.631578947368421,0.47368421052631576,0.47368421052631576,0.47368421052631576,5,22
2001-02,1,Chelsea,38,19,19,17,13,8,11,6,64,1.6842105263157894,66,38,28,1.736842105263158,1.0,486.0,215.0,12.789473684210526,5.657894736842105,44.23868312757202,15,0.39473684210526316,70.0,3.0,496.0,219.0,5.7631578947368425,0.4473684210526316,0.5789473684210527,0.3157894736842105,6,13
2001-02,1,West Ham,38,19,19,15,8,15,12,3,53,1.394736842105263,48,57,-9,1.263157894736842,1.5,419.0,198.0,11.026315789473685,5.2105263157894735,47.25536992840095,13,0.34210526315789475,67.0,3.0,458.0,210.0,5.526315789473684,0.39473684210526316,0.631578947368421,0.15789473684210525,7,43
2001-02,1,Aston Villa,38,19,19,12,14,12,8,4,50,1.3157894736842106,46,47,-1,1.2105263157894737,1.236842105263158,382.0,189.0,10.052631578947368,4.973684210526316,49.47643979057592,9,0.23684210526315788,41.0,2.0,492.0,201.0,5.2894736842105265,0.3157894736842105,0.42105263157894735,0.21052631578947367,8,1
2001-02,1,Tottenham,38,19,19,14,8,16,10,4,50,1.3157894736842106,49,53,-4,1.2894736842105263,1.394736842105263,412.0,178.0,10.842105263157896,4.684210526315789,43.203883495145625,8,0.21052631578947367,58.0,5.0,457.0,206.0,5.421052631578948,0.3684210526315789,0.5263157894736842,0.21052631578947367,9,40
2001-02,1,Blackburn,38,19,19,12,10,16,8,4,46,1.2105263157894737,55,51,4,1.4473684210526316,1.3421052631578947,442.0,213.0,11.631578947368421,5.605263157894737,48.19004524886878,8,0.21052631578947367,58.0,4.0,566.0,236.0,6.2105263157894735,0.3157894736842105,0.42105263157894735,0.21052631578947367,10,3
2001-02,1,Southampton,38,19,19,12,9,17,7,5,45,1.1842105263157894,46,54,-8,1.2105263157894737,1.4210526315789473,357.0,167.0,9.394736842105264,4.394736842105263,46.778711484593835,9,0.23684210526315788,39.0,6.0,541.0,175.0,4.605263157894737,0.3157894736842105,0.3684210526315789,0.2631578947368421,11,36
2001-02,1,Middlesbrough,38,19,19,12,9,17,7,5,45,1.1842105263157894,35,47,-12,0.9210526315789473,1.236842105263158,312.0,130.0,8.210526315789474,3.4210526315789473,41.66666666666667,12,0.3157894736842105,51.0,7.0,505.0,168.0,4.421052631578948,0.3157894736842105,0.3684210526315789,0.2631578947368421,12,28
2001-02,1,Fulham,38,19,19,10,14,14,7,3,44,1.1578947368421053,36,44,-8,0.9473684210526315,1.1578947368421053,379.0,157.0,9.973684210526315,4.131578947368421,41.42480211081794,15,0.39473684210526316,55.0,2.0,491.0,211.0,5.552631578947368,0.2631578947368421,0.3684210526315789,0.15789473684210525,13,18
